Tumor,Start_Year,End_Year,ICD10,Sex,Autonomous_Community,Age_Group,Burden_Measure,Crude_Rate,Arsenic(As),Cadmium(Cd),Nickel(Ni),Particulate_Matter(PM2.5),Lead(Pb),annual_mean_temp,absolute_max_temp,absolute_min_temp,total_precipitation,rainy_days,tropical_nights,Net_Income
12,2023,2023,12,3,2,8,1,1.23,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,9,1,0.0,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,10,1,8.08,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,11,1,21.77,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,12,1,58.33,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,13,1,106.12,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,14,1,153.37,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,15,1,187.96,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,16,1,263.35,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,17,1,225.55,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,18,1,176.3,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,19,1,0.16,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,19,2,0.31,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,20,1,14.74,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,20,2,24.41,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,21,1,81.14,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,21,2,128.3,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,22,1,169.26,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,22,2,245.95,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,23,1,221.97,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,2,23,2,263.91,0.8,0.56,3.6,9.81,0.0,15.36,40.57,-6.47,320.57,71.33,21.0,35026.0
12,2023,2023,12,3,3,0,1,67.87,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,0,2,59.94,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,1,1,0.0,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,2,1,0.0,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,3,1,0.0,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,4,1,0.0,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,5,1,0.0,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,6,1,0.0,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,7,1,0.0,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,8,1,1.8,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,9,1,4.13,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,10,1,9.23,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,11,1,29.13,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,12,1,55.43,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,13,1,115.34,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,14,1,165.82,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,15,1,219.19,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,16,1,176.52,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,17,1,160.29,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,18,1,178.13,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,19,1,1.01,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,19,2,0.61,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,20,1,18.93,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,20,2,17.1,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,21,1,85.28,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,21,2,44.98,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,22,1,190.49,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,22,2,70.96,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,23,1,173.11,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,3,23,2,76.03,0.85,0.5,2.6,6.46,0.01,15.03,31.4,0.5,1038.2,172.0,1.0,33709.0
12,2023,2023,12,3,4,0,1,44.58,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,0,2,53.29,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,1,1,0.0,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,2,1,0.0,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,3,1,0.0,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,4,1,0.0,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,5,1,0.0,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,6,1,0.0,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,7,1,0.0,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,8,1,1.09,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,9,1,5.84,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,10,1,9.29,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,11,1,22.46,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,12,1,55.49,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,13,1,87.11,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,14,1,171.61,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,15,1,183.39,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,16,1,214.47,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,17,1,207.01,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,18,1,227.17,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,19,1,1.07,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,19,2,1.57,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,20,1,15.57,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,20,2,25.57,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,21,1,69.89,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,21,2,55.79,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,22,1,177.0,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,22,2,68.96,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,23,1,216.19,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,4,23,2,67.5,0.23,0.08,1.5,6.1,0.0,18.79,36.0,1.1,259.5,43.0,91.0,36904.0
12,2023,2023,12,3,6,0,1,56.74,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,0,2,79.33,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,1,1,0.0,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,2,1,0.0,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,3,1,0.0,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,4,1,0.0,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,5,1,0.0,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,6,1,0.0,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,7,1,0.0,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,8,1,5.83,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,9,1,4.42,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
12,2023,2023,12,3,6,10,1,7.84,0.24,0.12,1.84,8.39,0.0,15.9,41.4,-3.1,1170.4,160.0,7.0,33373.0
