Categoría,Nombre,ID
Variable,Particulas(PM2.5), ug/m3 Contaminantes con valor legislado
Variable,Plomo(Pb), ug/m3 Contaminantes con valor legislado
Variable,temp_media_anual, Temperatura media anual
Variable,temp_max_abs, Temperatura máxima
Variable,temp_min_abs, Temperatura mínima
Variable,precipitacion_total, Precipitación total
Variable,dias_lluvia, Númerode días con lluvia
Variable,noches_tropicales, Número de noches tropicales
Variable,Arroz_euros,Euros gastados por persona en arroz en un año
Variable,Arroz_kg,Kilos consumidos de arroz por persona en un año
Variable,Azucar_euros,Euros gastados por persona en azúcar en un año
Variable,Azucar_kg,Kilos consumidos de azúcar por persona en un año
Variable,Bebidas_espirituosas_euros,Euros gastados por persona en bebidas espirituosas en un año
Variable,Bebidas_espirituosas_kg,Kilos consumidos de bebidas espirituosas por persona en un año
Variable,Boll.past.gallet.cere_euros,Euros gastados por persona en bollería pastelería galletas y cereales en un año
Variable,Boll.past.gallet.cere_kg,Kilos consumidos de bollería pastelería galletas y cereales por persona en un año
Variable,Cafes_e_infusiones_euros,Euros gastados por persona en cafés e infusiones en un año
Variable,Cafes_e_infusiones_kg,Kilos consumidos de cafés e infusiones por persona en un año
Variable,Carne_euros,Euros gastados por persona en carne en un año
Variable,Carne_kg,Kilos consumidos de carne por persona en un año
Variable,Cervezas_euros,Euros gastados por persona en cerveza en un año
Variable,Cervezas_kg,Kilos consumidos de cerveza por persona en un año
Variable,Chocolates/cacaos/suc_euros,Euros gastados por persona en chocolates cacaos y sucedáneos en un año
Variable,Chocolates/cacaos/suc_kg,Kilos consumidos de chocolates cacaos y sucedáneos por persona en un año
Variable,Derivados_lacteos_euros,Euros gastados por persona en derivados lácteos en un año
Variable,Derivados_lacteos_kg,Kilos consumidos de derivados lácteos por persona en un año
Variable,Frutas_frescas_euros,Euros gastados por persona en frutas frescas en un año
Variable,Frutas_frescas_kg,Kilos consumidos de frutas frescas por persona en un año
Variable,Huevos_euros,Euros gastados por persona en huevos en un año
Variable,Huevos_kg,Kilos consumidos de huevos por persona en un año
Variable,Leche_líquida_euros,Euros gastados por persona en leche líquida en un año
Variable,Leche_líquida_kg,Kilos consumidos de leche líquida por persona en un año
Variable,Legumbres_euros,Euros gastados por persona en legumbres en un año
Variable,Legumbres_kg,Kilos consumidos de legumbres por persona en un año
Variable,Pan_euros,Euros gastados por persona en pan en un año
Variable,Pan_kg,Kilos consumidos de pan por persona en un año
Variable,Pasta_euros,Euros gastados por persona en pasta en un año
Variable,Pasta_kg,Kilos consumidos de pasta por persona en un año
Variable,Patatas_euros,Euros gastados por persona en patatas en un año
Variable,Patatas_kg,Kilos consumidos de patatas por persona en un año
Variable,Pesca_euros,Euros gastados por persona en productos de pesca en un año
Variable,Pesca_kg,Kilos consumidos de productos de pesca por persona en un año
Variable,Platos_preparados_euros,Euros gastados por persona en platos preparados en un año
Variable,Platos_preparados_kg,Kilos consumidos de platos preparados por persona en un año
Variable,Vinos_euros,Euros gastados por persona en vino en un año
Variable,Vinos_kg,Kilos consumidos de vino por persona en un año
Variable,Zumos_euros,Euros gastados por persona en zumos en un año
Variable,Zumos_kg,Kilos consumidos de zumos por persona en un año
Variable,Total_mu30df, Número total de fallecidos registrados en el accidente computados a 30 días
Variable,Total_hg30df, Número total de heridos hospitalizados registrados en el accidente computados a 30 días
Variable,Total_hl30df, Número total de heridos no hospitalizados registrados en el accidente computados a 30 días
Variable,Total_vehiculos, Número total de vehículos implicados registrados en el accidente
Variable,Laboral_leves, Número de accidentes laborales leves
Variable,Laboral_graves, Número de accidentes laborales graves
Variable,Laboral_mortales, Número de accidentes laborales mortales
Variable,Incidencia_accidente_laboral, Incidencia de accidente laboral
Variable,Leves_enjornada, Número de fallecidos en accidentes leves en jornada laboral
Variable,Graves_enjornada, Número de fallecidos en accidentes graves en jornada laboral
Variable,Mortales_enjornada, Número de fallecidos en accidentes mortales en jornada laboral
Variable,Leves_itinere, Número de fallecidos en accidentes leves en itinere
Variable,Graves_itinere, Número de fallecidos en accidentes graves en itinere
Variable,Mortales_itinere, Número de fallecidos en accidentes mortales en itinere
Variable,RentaNeta, Media de renta neta por hogar
Variable,SituacionLaboral_Activos_miles, Número de activos (en miles)
Variable,SituacionLaboral_Inactivos_miles, Número de inactivos (en miles)
Variable,SituacionLaboral_Ocupados_miles, Número de ocupados (en miles)
Variable,SituacionLaboral_Parados_miles, Número de parados (en miles)
Variable,Poblacion, Número de habitantes
Variable,Tasa_de_riesgo_pobreza, Tasa de riesgo de pobreza porcentaje
Variable,En_riesgo_de_pobreza, Riesgo de pobreza porcentaje
Variable,Carencia_material_y_social_severa, Carencia materia y social severa porcentaje
Variable,Viviendo_en_hogares_con_baja_intensidad_en_el_trabajo, Viviendo en hogares con baja intensidad en el trabajo porcentaje
