Tumor,Año,CIE10,Sexo,CCAA,Medida de Carga,Tasa cruda,Arsenico(As),Benzo(a)pireno(B(a)P),Cadmio(Cd),Niquel(Ni),Particulas(PM2.5),Plomo(Pb),temp_media_anual,temp_max_abs,temp_min_abs,precipitacion_total,dias_lluvia,noches_tropicales,Arroz_euros,Arroz_kg,Azucar_euros,Azucar_kg,Bebidas_espirituosas_euros,Bebidas_espirituosas_kg,Boll.past.gallet.cere_euros,Boll.past.gallet.cere_kg,Cafes_e_infusiones_euros,Cafes_e_infusiones_kg,Carne_euros,Carne_kg,Cervezas_euros,Cervezas_kg,Chocolates/cacaos/suc_euros,Chocolates/cacaos/suc_kg,Derivados_lacteos_euros,Derivados_lacteos_kg,Frutas_frescas_euros,Frutas_frescas_kg,Huevos_euros,Huevos_kg,Leche_líquida_euros,Leche_líquida_kg,Legumbres_euros,Legumbres_kg,Pan_euros,Pan_kg,Pasta_euros,Pasta_kg,Patatas_euros,Patatas_kg,Pesca_euros,Pesca_kg,Platos_preparados_euros,Platos_preparados_kg,Vinos_euros,Vinos_kg,Zumos_euros,Zumos_kg,Total_mu30df,Total_hg30df,Total_hl30df,Total_vehiculos,Laboral_leves,Laboral_graves,Laboral_mortales,Incidencia_accidente_laboral,Leves_enjornada,Graves_enjornada,Mortales_enjornada,Leves_itinere,Graves_itinere,Mortales_itinere,RentaNeta,SituacionLaboral_Activos_miles,SituacionLaboral_Inactivos_miles,SituacionLaboral_Ocupados_miles,SituacionLaboral_Parados_miles,Poblacion,Tasa_de_riesgo_pobreza,En_riesgo_de_pobreza,Carencia_material_y_social_severa,Viviendo_en_hogares_con_baja_intensidad_en_el_trabajo
12,2023,12,3,11,1,53.8,0.3,0.1,0.03,1.56,8.93,0.0,17.94,42.25,-2.85,437.8,83.5,26.0,6.458,3.155,3.897,2.567,7.2,0.58,60.899,11.462,22.797,1.819,258.419,33.826,32.84,22.959,23.478,2.934,132.633,31.573,127.531,67.922,20.305,6.48,71.01,75.959,5.731,2.808,59.766,23.434,7.668,3.475,30.683,24.834,153.86,15.722,66.83,14.037,13.821,5.292,5.235,4.171,70.0,198.0,1853.0,2508.0,0.0,0.0,0.0,5842.5,10969.0,170.0,14.0,896.0,31.0,1.0,27051.0,4020.1,3195.7,3322.0,698.1,1054306.0,32.8,27.6,8.0,11.1
12,2023,12,3,11,2,73.54,0.3,0.1,0.03,1.56,8.93,0.0,17.94,42.25,-2.85,437.8,83.5,26.0,6.458,3.155,3.897,2.567,7.2,0.58,60.899,11.462,22.797,1.819,258.419,33.826,32.84,22.959,23.478,2.934,132.633,31.573,127.531,67.922,20.305,6.48,71.01,75.959,5.731,2.808,59.766,23.434,7.668,3.475,30.683,24.834,153.86,15.722,66.83,14.037,13.821,5.292,5.235,4.171,70.0,198.0,1853.0,2508.0,0.0,0.0,0.0,5842.5,10969.0,170.0,14.0,896.0,31.0,1.0,27051.0,4020.1,3195.7,3322.0,698.1,1054306.0,32.8,27.6,8.0,11.1
12,2023,12,3,12,1,59.61,0.46,0.14,0.35,2.25,10.03,0.0,13.94,37.83,-4.15,1740.88,159.25,1.0,7.471,3.29,6.064,3.944,6.171,0.5,83.93,14.166,31.844,2.03,338.092,42.218,26.138,13.058,40.495,4.214,162.99,34.105,194.744,90.275,31.582,8.859,75.174,75.776,5.941,2.586,84.805,32.641,11.542,4.552,36.868,30.151,234.337,23.692,60.551,10.295,27.853,7.562,7.52,5.371,128.0,662.0,5625.0,7655.0,0.0,0.0,0.0,11370.7,28702.0,391.0,57.0,3474.0,65.0,6.0,31301.0,9999.8,8870.4,9028.4,971.6,2699424.0,25.5,19.4,8.2,7.5
12,2023,12,3,12,2,81.93,0.46,0.14,0.35,2.25,10.03,0.0,13.94,37.83,-4.15,1740.88,159.25,1.0,7.471,3.29,6.064,3.944,6.171,0.5,83.93,14.166,31.844,2.03,338.092,42.218,26.138,13.058,40.495,4.214,162.99,34.105,194.744,90.275,31.582,8.859,75.174,75.776,5.941,2.586,84.805,32.641,11.542,4.552,36.868,30.151,234.337,23.692,60.551,10.295,27.853,7.562,7.52,5.371,128.0,662.0,5625.0,7655.0,0.0,0.0,0.0,11370.7,28702.0,391.0,57.0,3474.0,65.0,6.0,31301.0,9999.8,8870.4,9028.4,971.6,2699424.0,25.5,19.4,8.2,7.5
12,2023,12,3,13,1,39.97,0.32,0.11,0.08,2.56,11.17,0.0,16.15,40.8,-5.9,539.4,70.0,23.0,8.682,3.841,3.459,2.177,6.595,0.484,78.757,13.376,30.35,1.72,337.968,39.477,34.543,19.899,25.388,2.77,140.295,29.727,155.426,76.25,26.881,8.522,63.348,65.767,6.569,3.013,62.207,24.334,10.155,3.854,30.965,25.2,191.041,17.437,95.974,18.169,19.873,5.34,8.712,6.181,137.0,893.0,17881.0,26451.0,0.0,0.0,0.0,2141.8,72883.0,393.0,63.0,14788.0,136.0,17.0,42926.0,29568.5,17182.3,26625.9,2942.7,6871903.0,19.4,12.9,8.9,5.2
12,2023,12,3,13,2,55.01,0.32,0.11,0.08,2.56,11.17,0.0,16.15,40.8,-5.9,539.4,70.0,23.0,8.682,3.841,3.459,2.177,6.595,0.484,78.757,13.376,30.35,1.72,337.968,39.477,34.543,19.899,25.388,2.77,140.295,29.727,155.426,76.25,26.881,8.522,63.348,65.767,6.569,3.013,62.207,24.334,10.155,3.854,30.965,25.2,191.041,17.437,95.974,18.169,19.873,5.34,8.712,6.181,137.0,893.0,17881.0,26451.0,0.0,0.0,0.0,2141.8,72883.0,393.0,63.0,14788.0,136.0,17.0,42926.0,29568.5,17182.3,26625.9,2942.7,6871903.0,19.4,12.9,8.9,5.2
12,2023,12,3,14,1,40.69,0.29,0.04,0.1,1.4,13.65,0.0,18.97,36.8,0.6,136.7,40.0,88.0,9.475,4.202,4.37,2.84,5.855,0.5,73.098,11.588,36.231,1.702,346.642,42.677,34.65,22.534,28.164,3.24,157.393,32.552,162.562,80.92,25.387,8.025,58.89,58.355,6.55,3.473,70.39,26.094,10.688,4.287,32.168,25.369,211.006,19.432,91.477,16.991,18.07,5.136,8.702,6.409,62.0,259.0,4367.0,6070.0,0.0,0.0,0.0,3100.1,18986.0,81.0,23.0,2740.0,13.0,9.0,30509.0,6132.8,4158.7,5349.1,783.8,1551692.0,30.5,24.2,8.5,5.9
12,2023,12,3,14,2,52.99,0.29,0.04,0.1,1.4,13.65,0.0,18.97,36.8,0.6,136.7,40.0,88.0,9.475,4.202,4.37,2.84,5.855,0.5,73.098,11.588,36.231,1.702,346.642,42.677,34.65,22.534,28.164,3.24,157.393,32.552,162.562,80.92,25.387,8.025,58.89,58.355,6.55,3.473,70.39,26.094,10.688,4.287,32.168,25.369,211.006,19.432,91.477,16.991,18.07,5.136,8.702,6.409,62.0,259.0,4367.0,6070.0,0.0,0.0,0.0,3100.1,18986.0,81.0,23.0,2740.0,13.0,9.0,30509.0,6132.8,4158.7,5349.1,783.8,1551692.0,30.5,24.2,8.5,5.9
12,2023,12,3,15,1,46.27,0.2,0.12,0.05,0.94,13.75,0.0,14.33,42.0,-5.9,767.6,115.0,2.0,6.547,3.023,4.266,2.861,3.866,0.273,72.319,12.717,38.643,1.756,418.342,47.113,27.26,14.724,29.435,3.199,145.905,33.035,233.747,107.877,34.849,10.835,69.926,71.925,12.453,4.389,94.356,35.073,8.813,3.332,31.238,23.589,232.235,21.401,58.743,12.267,26.394,7.641,6.642,4.831,17.0,141.0,697.0,1128.0,0.0,0.0,0.0,3801.6,11217.0,54.0,10.0,1241.0,15.0,2.0,41187.0,2653.8,1860.6,2389.9,263.9,672155.0,17.2,13.8,6.2,7.9
12,2023,12,3,15,2,70.52,0.2,0.12,0.05,0.94,13.75,0.0,14.33,42.0,-5.9,767.6,115.0,2.0,6.547,3.023,4.266,2.861,3.866,0.273,72.319,12.717,38.643,1.756,418.342,47.113,27.26,14.724,29.435,3.199,145.905,33.035,233.747,107.877,34.849,10.835,69.926,71.925,12.453,4.389,94.356,35.073,8.813,3.332,31.238,23.589,232.235,21.401,58.743,12.267,26.394,7.641,6.642,4.831,17.0,141.0,697.0,1128.0,0.0,0.0,0.0,3801.6,11217.0,54.0,10.0,1241.0,15.0,2.0,41187.0,2653.8,1860.6,2389.9,263.9,672155.0,17.2,13.8,6.2,7.9
